"","SRR6145425","SRR6145429","SRR6145431","SRR6145433","SRR6145436","SRR6145443"
"ENSG00000228875.8",0,0,0,0,0,0
"ENSG00000231325.9",0,0,0,0,0,0
"ENSG00000235676.9",0,0,0,0,0,0
"ENSG00000240008.1",0,0,0,0,0,0
"ENSG00000224708.8",0,0,0,0,0,0
"ENSG00000226603.8",0,0,0,0,0,0
"ENSG00000236183.2",0,0,0,0,0,0
"ENSG00000230060.6",0,0,0,0,0,0
"ENSG00000226634.6",0,0,0,0,0,0
"ENSG00000230685.6",0,0,0,0,0,0
"ENSG00000265409.1",0,0,0,0,0,0
"ENSG00000235222.12",0,0,0,0,0,0
"ENSG00000254405.10",0,0,0,0,0,0
"ENSG00000229176.11",0,0,0,0,0,0
"ENSG00000238017.1",0,0,0,0,0,0
"ENSG00000227144.8",0,0,0,0,0,0
"ENSG00000264955.1",0,0,0,0,0,0
"ENSG00000226589.9",0,0,0,0,0,0
"ENSG00000236826.7",0,0,0,0,0,0
"ENSG00000236251.6",0,0,0,0,0,0
"ENSG00000237724.5",0,0,0,0,0,0
"ENSG00000224501.5",0,0,0,0,0,0
"ENSG00000264202.1",0,0,0,0,0,0
"ENSG00000263362.1",0,0,0,0,0,0
"ENSG00000226710.9",0,0,0,0,0,0
"ENSG00000227315.7",0,0,0,0,0,0
"ENSG00000231479.8",0,0,0,0,0,0
"ENSG00000223557.1",0,0,0,0,0,0
"ENSG00000236759.7",0,0,0,0,0,0
"ENSG00000237900.2",0,0,0,0,0,0
"ENSG00000227884.1",0,0,0,0,0,0
"ENSG00000235017.9",0,0,0,0,0,0
"ENSG00000239754.9",0,0,0,0,0,0
"ENSG00000231044.10",0,0,0,0,0,0
"ENSG00000225737.9",0,0,0,0,0,0
"ENSG00000225682.6",0,0,0,0,0,0
"ENSG00000234947.8",0,0,0,0,0,0
"ENSG00000228267.8",0,0,0,0,0,0
"ENSG00000236587.1",0,0,0,0,0,0
"ENSG00000233151.6",0,0,0,0,0,0
"ENSG00000265816.1",0,0,0,0,0,0
"ENSG00000233323.10",0,0,0,0,0,0
"ENSG00000234539.9",0,0,0,0,0,0
"ENSG00000230907.2",0,0,0,0,0,0
"ENSG00000229071.9",0,0,0,0,0,0
"ENSG00000206256.14",0,0,0,0,0,0
"ENSG00000242038.5",0,0,0,0,0,0
"ENSG00000254778.7",0,0,0,0,0,0
"ENSG00000226467.9",0,0,0,0,0,0
"ENSG00000228405.5",0,0,0,0,0,0
"ENSG00000234729.9",0,0,0,0,0,0
"ENSG00000237344.7",0,0,0,0,0,0
"ENSG00000233490.7",0,0,0,0,0,0
"ENSG00000235396.5",0,0,0,0,0,0
"ENSG00000231275.1",0,0,0,0,0,0
"ENSG00000263869.1",0,0,0,0,0,0
"ENSG00000234280.6",0,0,0,0,0,0
"ENSG00000225834.1",0,0,0,0,0,0
"ENSG00000224770.7",0,0,0,0,0,0
"ENSG00000227993.9",0,0,0,0,0,0
"ENSG00000227526.4",0,0,0,0,0,0
"ENSG00000265223.1",0,0,0,0,0,0
"ENSG00000231679.7",0,0,0,0,0,0
"ENSG00000264909.1",0,0,0,0,0,0
"ENSG00000232156.1",0,0,0,0,0,0
"ENSG00000264259.1",0,0,0,0,0,0
"ENSG00000206240.11",0,0,0,0,0,0
"ENSG00000231677.1",0,0,0,0,0,0
"ENSG00000243252.1",0,0,0,0,0,0
"ENSG00000206237.6",0,0,0,0,0,0
"ENSG00000228845.1",0,0,0,0,0,0
"ENSG00000232026.1",0,0,0,0,0,0
"ENSG00000224793.1",0,0,0,0,0,0
"ENSG00000257473.7",0,0,0,0,0,0
"ENSG00000224305.9",0,0,0,0,0,0
"ENSG00000241386.6",0,0,0,0,0,0
"ENSG00000228582.9",0,0,0,0,0,0
"ENSG00000235715.6",0,0,0,0,0,0
"ENSG00000235540.6",0,0,0,0,0,0
"ENSG00000232367.5",0,0,0,0,0,0
